DT,Precip,Met,Gage
"01Jan3000, 00:00", ,Dec1964,SK02
"01Jan3000, 01:00",0.04,Dec1964,SK02
"01Jan3000, 02:00",0.03,Dec1964,SK02
"01Jan3000, 03:00",0.02,Dec1964,SK02
"01Jan3000, 04:00",0.02,Dec1964,SK02
"01Jan3000, 05:00",0.06,Dec1964,SK02
"01Jan3000, 06:00",0.11,Dec1964,SK02
"01Jan3000, 07:00",0.14,Dec1964,SK02
"01Jan3000, 08:00",0.18,Dec1964,SK02
"01Jan3000, 09:00",0.18,Dec1964,SK02
"01Jan3000, 10:00",0.18,Dec1964,SK02
"01Jan3000, 11:00",0.18,Dec1964,SK02
"01Jan3000, 12:00",0.19,Dec1964,SK02
"01Jan3000, 13:00",0.17,Dec1964,SK02
"01Jan3000, 14:00",0.13,Dec1964,SK02
"01Jan3000, 15:00",0.06,Dec1964,SK02
"01Jan3000, 16:00",0.14,Dec1964,SK02
"01Jan3000, 17:00",0.17,Dec1964,SK02
"01Jan3000, 18:00",0.23,Dec1964,SK02
"01Jan3000, 19:00",0.33,Dec1964,SK02
"01Jan3000, 20:00",0.28,Dec1964,SK02
"01Jan3000, 21:00",0.25,Dec1964,SK02
"01Jan3000, 22:00",0.31,Dec1964,SK02
"01Jan3000, 23:00",0.29,Dec1964,SK02
"02Jan3000, 00:00",0.29,Dec1964,SK02
"02Jan3000, 01:00",0.3,Dec1964,SK02
"02Jan3000, 02:00",0.32,Dec1964,SK02
"02Jan3000, 03:00",0.24,Dec1964,SK02
"02Jan3000, 04:00",0.24,Dec1964,SK02
"02Jan3000, 05:00",0.24,Dec1964,SK02
"02Jan3000, 06:00",0.24,Dec1964,SK02
"02Jan3000, 07:00",0.21,Dec1964,SK02
"02Jan3000, 08:00",0.22,Dec1964,SK02
"02Jan3000, 09:00",0.23,Dec1964,SK02
"02Jan3000, 10:00",0.22,Dec1964,SK02
"02Jan3000, 11:00",0.22,Dec1964,SK02
"02Jan3000, 12:00",0.18,Dec1964,SK02
"02Jan3000, 13:00",0.16,Dec1964,SK02
"02Jan3000, 14:00",0.13,Dec1964,SK02
"02Jan3000, 15:00",0.14,Dec1964,SK02
"02Jan3000, 16:00",0.13,Dec1964,SK02
"02Jan3000, 17:00",0.09,Dec1964,SK02
"02Jan3000, 18:00",0.07,Dec1964,SK02
"02Jan3000, 19:00",0.06,Dec1964,SK02
"02Jan3000, 20:00",0.13,Dec1964,SK02
"02Jan3000, 21:00",0.12,Dec1964,SK02
"02Jan3000, 22:00",0.07,Dec1964,SK02
"02Jan3000, 23:00",0.1,Dec1964,SK02
"03Jan3000, 00:00",0.11,Dec1964,SK02
"03Jan3000, 01:00",0.1,Dec1964,SK02
"03Jan3000, 02:00",0.09,Dec1964,SK02
"03Jan3000, 03:00",0.14,Dec1964,SK02
"03Jan3000, 04:00",0.09,Dec1964,SK02
"03Jan3000, 05:00",0.11,Dec1964,SK02
"03Jan3000, 06:00",0.07,Dec1964,SK02
"03Jan3000, 07:00",0.13,Dec1964,SK02
"03Jan3000, 08:00",0.07,Dec1964,SK02
"03Jan3000, 09:00",0.13,Dec1964,SK02
"03Jan3000, 10:00",0.16,Dec1964,SK02
"03Jan3000, 11:00",0.14,Dec1964,SK02
"03Jan3000, 12:00",0.1,Dec1964,SK02
"03Jan3000, 13:00",0.06,Dec1964,SK02
"03Jan3000, 14:00",0.05,Dec1964,SK02
"03Jan3000, 15:00",0.08,Dec1964,SK02
"03Jan3000, 16:00",0.1,Dec1964,SK02
"03Jan3000, 17:00",0.11,Dec1964,SK02
"03Jan3000, 18:00",0.1,Dec1964,SK02
"03Jan3000, 19:00",0.1,Dec1964,SK02
"03Jan3000, 20:00",0.1,Dec1964,SK02
"03Jan3000, 21:00",0.09,Dec1964,SK02
"03Jan3000, 22:00",0.1,Dec1964,SK02
"03Jan3000, 23:00",0.12,Dec1964,SK02
"04Jan3000, 00:00",0.12,Dec1964,SK02
"04Jan3000, 01:00",0.11,Dec1964,SK02
"04Jan3000, 02:00",0.09,Dec1964,SK02
"04Jan3000, 03:00",0.09,Dec1964,SK02
"04Jan3000, 04:00",0.1,Dec1964,SK02
"04Jan3000, 05:00",0.08,Dec1964,SK02
"04Jan3000, 06:00",0.07,Dec1964,SK02
"04Jan3000, 07:00",0.07,Dec1964,SK02
"04Jan3000, 08:00",0.07,Dec1964,SK02
"04Jan3000, 09:00",0.07,Dec1964,SK02
"04Jan3000, 10:00",0.07,Dec1964,SK02
"04Jan3000, 11:00",0.05,Dec1964,SK02
"04Jan3000, 12:00",0.03,Dec1964,SK02
"04Jan3000, 13:00",0.03,Dec1964,SK02
"04Jan3000, 14:00",0.02,Dec1964,SK02
"04Jan3000, 15:00",0.02,Dec1964,SK02
"04Jan3000, 16:00",0.02,Dec1964,SK02
"04Jan3000, 17:00",0.04,Dec1964,SK02
"04Jan3000, 18:00",0.06,Dec1964,SK02
"04Jan3000, 19:00",0.05,Dec1964,SK02
"04Jan3000, 20:00",0.03,Dec1964,SK02
"04Jan3000, 21:00",0.03,Dec1964,SK02
"04Jan3000, 22:00",0.02,Dec1964,SK02
"04Jan3000, 23:00",0.16,Dec1964,SK02
"05Jan3000, 00:00",0.13,Dec1964,SK02
"05Jan3000, 01:00",0.09,Dec1964,SK02
"05Jan3000, 02:00",0.07,Dec1964,SK02
"05Jan3000, 03:00",0.07,Dec1964,SK02
"05Jan3000, 04:00",0.06,Dec1964,SK02
"05Jan3000, 05:00",0.07,Dec1964,SK02
"05Jan3000, 06:00",0.07,Dec1964,SK02
"05Jan3000, 07:00",0.07,Dec1964,SK02
"05Jan3000, 08:00",0.07,Dec1964,SK02
"05Jan3000, 09:00",0.06,Dec1964,SK02
"05Jan3000, 10:00",0.06,Dec1964,SK02
"05Jan3000, 11:00",0.04,Dec1964,SK02
"05Jan3000, 12:00",0.12,Dec1964,SK02
"05Jan3000, 13:00",0.11,Dec1964,SK02
"05Jan3000, 14:00",0.08,Dec1964,SK02
"05Jan3000, 15:00",0.13,Dec1964,SK02
"05Jan3000, 16:00",0.22,Dec1964,SK02
"05Jan3000, 17:00",0.23,Dec1964,SK02
"05Jan3000, 18:00",0.24,Dec1964,SK02
"05Jan3000, 19:00",0.24,Dec1964,SK02
"05Jan3000, 20:00",0.18,Dec1964,SK02
"05Jan3000, 21:00",0.07,Dec1964,SK02
"05Jan3000, 22:00",0.02,Dec1964,SK02
"05Jan3000, 23:00",0.02,Dec1964,SK02
"06Jan3000, 00:00",0.09,Dec1964,SK02
"06Jan3000, 01:00",0.06,Dec1964,SK02
"06Jan3000, 02:00",0.05,Dec1964,SK02
"06Jan3000, 03:00",0.06,Dec1964,SK02
"06Jan3000, 04:00",0.05,Dec1964,SK02
"06Jan3000, 05:00",0.07,Dec1964,SK02
"06Jan3000, 06:00",0.06,Dec1964,SK02
"06Jan3000, 07:00",0.08,Dec1964,SK02
"06Jan3000, 08:00",0.13,Dec1964,SK02
"06Jan3000, 09:00",0.08,Dec1964,SK02
"06Jan3000, 10:00",0.03,Dec1964,SK02
"06Jan3000, 11:00",0.05,Dec1964,SK02
"06Jan3000, 12:00",0.11,Dec1964,SK02
"06Jan3000, 13:00",0.15,Dec1964,SK02
"06Jan3000, 14:00",0.22,Dec1964,SK02
"06Jan3000, 15:00",0.29,Dec1964,SK02
"06Jan3000, 16:00",0.09,Dec1964,SK02
"06Jan3000, 17:00",0.01,Dec1964,SK02
"06Jan3000, 18:00",0.07,Dec1964,SK02
"06Jan3000, 19:00",0.07,Dec1964,SK02
"06Jan3000, 20:00",0.03,Dec1964,SK02
"06Jan3000, 21:00",0.08,Dec1964,SK02
"06Jan3000, 22:00",0.07,Dec1964,SK02
"06Jan3000, 23:00",0.08,Dec1964,SK02
"07Jan3000, 00:00",0.08,Dec1964,SK02
"07Jan3000, 01:00",0.08,Dec1964,SK02
"07Jan3000, 02:00",0.09,Dec1964,SK02
"07Jan3000, 03:00",0.06,Dec1964,SK02
"07Jan3000, 04:00",0.04,Dec1964,SK02
"07Jan3000, 05:00",0.02,Dec1964,SK02
"07Jan3000, 06:00",0.01,Dec1964,SK02
"07Jan3000, 07:00",0.02,Dec1964,SK02
"07Jan3000, 08:00",0.04,Dec1964,SK02
"07Jan3000, 09:00",0.05,Dec1964,SK02
"07Jan3000, 10:00",0.04,Dec1964,SK02
"07Jan3000, 11:00",0.02,Dec1964,SK02
"07Jan3000, 12:00",0.03,Dec1964,SK02
"07Jan3000, 13:00",0.05,Dec1964,SK02
"07Jan3000, 14:00",0.06,Dec1964,SK02
"07Jan3000, 15:00",0.06,Dec1964,SK02
"07Jan3000, 16:00",0.09,Dec1964,SK02
"07Jan3000, 17:00",0.12,Dec1964,SK02
"07Jan3000, 18:00",0.03,Dec1964,SK02
"07Jan3000, 19:00",0,Dec1964,SK02
"07Jan3000, 20:00",0,Dec1964,SK02
"07Jan3000, 21:00",0.04,Dec1964,SK02
"07Jan3000, 22:00",0.15,Dec1964,SK02
"07Jan3000, 23:00",0.01,Dec1964,SK02
"08Jan3000, 00:00",0,Dec1964,SK02
"08Jan3000, 01:00",0.11,Dec1964,SK02
"08Jan3000, 02:00",0.11,Dec1964,SK02
"08Jan3000, 03:00",0.04,Dec1964,SK02
"08Jan3000, 04:00",0.03,Dec1964,SK02
"08Jan3000, 05:00",0.02,Dec1964,SK02
"08Jan3000, 06:00",0.02,Dec1964,SK02
"08Jan3000, 07:00",0.02,Dec1964,SK02
"08Jan3000, 08:00",0.01,Dec1964,SK02
"08Jan3000, 09:00",0.05,Dec1964,SK02
"08Jan3000, 10:00",0.06,Dec1964,SK02
"08Jan3000, 11:00",0.08,Dec1964,SK02
"08Jan3000, 12:00",0.07,Dec1964,SK02
"08Jan3000, 13:00",0.09,Dec1964,SK02
"08Jan3000, 14:00",0.07,Dec1964,SK02
"08Jan3000, 15:00",0.05,Dec1964,SK02
"08Jan3000, 16:00",0.05,Dec1964,SK02
"08Jan3000, 17:00",0.06,Dec1964,SK02
"08Jan3000, 18:00",0.09,Dec1964,SK02
"08Jan3000, 19:00",0.11,Dec1964,SK02
"08Jan3000, 20:00",0.09,Dec1964,SK02
"08Jan3000, 21:00",0.11,Dec1964,SK02
"08Jan3000, 22:00",0.14,Dec1964,SK02
"08Jan3000, 23:00",0.09,Dec1964,SK02
"09Jan3000, 00:00",0.1,Dec1964,SK02
"09Jan3000, 01:00",0.1,Dec1964,SK02
"09Jan3000, 02:00",0.08,Dec1964,SK02
"09Jan3000, 03:00",0.03,Dec1964,SK02
"09Jan3000, 04:00",0.07,Dec1964,SK02
"09Jan3000, 05:00",0.09,Dec1964,SK02
"09Jan3000, 06:00",0.11,Dec1964,SK02
"09Jan3000, 07:00",0.13,Dec1964,SK02
"09Jan3000, 08:00",0.12,Dec1964,SK02
"09Jan3000, 09:00",0.1,Dec1964,SK02
"09Jan3000, 10:00",0.1,Dec1964,SK02
"09Jan3000, 11:00",0.11,Dec1964,SK02
"09Jan3000, 12:00",0.09,Dec1964,SK02
"09Jan3000, 13:00",0.07,Dec1964,SK02
"09Jan3000, 14:00",0.06,Dec1964,SK02
"09Jan3000, 15:00",0.06,Dec1964,SK02
"09Jan3000, 16:00",0.05,Dec1964,SK02
"09Jan3000, 17:00",0.07,Dec1964,SK02
"09Jan3000, 18:00",0.14,Dec1964,SK02
"09Jan3000, 19:00",0.09,Dec1964,SK02
"09Jan3000, 20:00",0.02,Dec1964,SK02
"09Jan3000, 21:00",0.04,Dec1964,SK02
"09Jan3000, 22:00",0.04,Dec1964,SK02
"09Jan3000, 23:00",0.02,Dec1964,SK02
"01Jan3000, 00:00", ,Dec1964,SK04
"01Jan3000, 01:00",0.01,Dec1964,SK04
"01Jan3000, 02:00",0,Dec1964,SK04
"01Jan3000, 03:00",0,Dec1964,SK04
"01Jan3000, 04:00",0,Dec1964,SK04
"01Jan3000, 05:00",0.03,Dec1964,SK04
"01Jan3000, 06:00",0.11,Dec1964,SK04
"01Jan3000, 07:00",0.13,Dec1964,SK04
"01Jan3000, 08:00",0.11,Dec1964,SK04
"01Jan3000, 09:00",0.12,Dec1964,SK04
"01Jan3000, 10:00",0.15,Dec1964,SK04
"01Jan3000, 11:00",0.12,Dec1964,SK04
"01Jan3000, 12:00",0.1,Dec1964,SK04
"01Jan3000, 13:00",0.12,Dec1964,SK04
"01Jan3000, 14:00",0.08,Dec1964,SK04
"01Jan3000, 15:00",0.03,Dec1964,SK04
"01Jan3000, 16:00",0.1,Dec1964,SK04
"01Jan3000, 17:00",0.15,Dec1964,SK04
"01Jan3000, 18:00",0.12,Dec1964,SK04
"01Jan3000, 19:00",0.26,Dec1964,SK04
"01Jan3000, 20:00",0.22,Dec1964,SK04
"01Jan3000, 21:00",0.21,Dec1964,SK04
"01Jan3000, 22:00",0.25,Dec1964,SK04
"01Jan3000, 23:00",0.24,Dec1964,SK04
"02Jan3000, 00:00",0.21,Dec1964,SK04
"02Jan3000, 01:00",0.22,Dec1964,SK04
"02Jan3000, 02:00",0.3,Dec1964,SK04
"02Jan3000, 03:00",0.2,Dec1964,SK04
"02Jan3000, 04:00",0.2,Dec1964,SK04
"02Jan3000, 05:00",0.19,Dec1964,SK04
"02Jan3000, 06:00",0.17,Dec1964,SK04
"02Jan3000, 07:00",0.18,Dec1964,SK04
"02Jan3000, 08:00",0.2,Dec1964,SK04
"02Jan3000, 09:00",0.22,Dec1964,SK04
"02Jan3000, 10:00",0.18,Dec1964,SK04
"02Jan3000, 11:00",0.13,Dec1964,SK04
"02Jan3000, 12:00",0.14,Dec1964,SK04
"02Jan3000, 13:00",0.08,Dec1964,SK04
"02Jan3000, 14:00",0.05,Dec1964,SK04
"02Jan3000, 15:00",0.08,Dec1964,SK04
"02Jan3000, 16:00",0.2,Dec1964,SK04
"02Jan3000, 17:00",0.26,Dec1964,SK04
"02Jan3000, 18:00",0.16,Dec1964,SK04
"02Jan3000, 19:00",0.13,Dec1964,SK04
"02Jan3000, 20:00",0.06,Dec1964,SK04
"02Jan3000, 21:00",0.11,Dec1964,SK04
"02Jan3000, 22:00",0.14,Dec1964,SK04
"02Jan3000, 23:00",0.04,Dec1964,SK04
"03Jan3000, 00:00",0.08,Dec1964,SK04
"03Jan3000, 01:00",0.13,Dec1964,SK04
"03Jan3000, 02:00",0.05,Dec1964,SK04
"03Jan3000, 03:00",0.09,Dec1964,SK04
"03Jan3000, 04:00",0.15,Dec1964,SK04
"03Jan3000, 05:00",0.06,Dec1964,SK04
"03Jan3000, 06:00",0.06,Dec1964,SK04
"03Jan3000, 07:00",0.12,Dec1964,SK04
"03Jan3000, 08:00",0.1,Dec1964,SK04
"03Jan3000, 09:00",0.13,Dec1964,SK04
"03Jan3000, 10:00",0.16,Dec1964,SK04
"03Jan3000, 11:00",0.12,Dec1964,SK04
"03Jan3000, 12:00",0.09,Dec1964,SK04
"03Jan3000, 13:00",0.04,Dec1964,SK04
"03Jan3000, 14:00",0.03,Dec1964,SK04
"03Jan3000, 15:00",0.05,Dec1964,SK04
"03Jan3000, 16:00",0.05,Dec1964,SK04
"03Jan3000, 17:00",0.04,Dec1964,SK04
"03Jan3000, 18:00",0.07,Dec1964,SK04
"03Jan3000, 19:00",0.09,Dec1964,SK04
"03Jan3000, 20:00",0.12,Dec1964,SK04
"03Jan3000, 21:00",0.16,Dec1964,SK04
"03Jan3000, 22:00",0.13,Dec1964,SK04
"03Jan3000, 23:00",0.08,Dec1964,SK04
"04Jan3000, 00:00",0.07,Dec1964,SK04
"04Jan3000, 01:00",0.07,Dec1964,SK04
"04Jan3000, 02:00",0.05,Dec1964,SK04
"04Jan3000, 03:00",0.06,Dec1964,SK04
"04Jan3000, 04:00",0.07,Dec1964,SK04
"04Jan3000, 05:00",0.08,Dec1964,SK04
"04Jan3000, 06:00",0.07,Dec1964,SK04
"04Jan3000, 07:00",0.04,Dec1964,SK04
"04Jan3000, 08:00",0.04,Dec1964,SK04
"04Jan3000, 09:00",0.04,Dec1964,SK04
"04Jan3000, 10:00",0.05,Dec1964,SK04
"04Jan3000, 11:00",0.04,Dec1964,SK04
"04Jan3000, 12:00",0.06,Dec1964,SK04
"04Jan3000, 13:00",0.03,Dec1964,SK04
"04Jan3000, 14:00",0.01,Dec1964,SK04
"04Jan3000, 15:00",0,Dec1964,SK04
"04Jan3000, 16:00",0.01,Dec1964,SK04
"04Jan3000, 17:00",0.02,Dec1964,SK04
"04Jan3000, 18:00",0.04,Dec1964,SK04
"04Jan3000, 19:00",0.04,Dec1964,SK04
"04Jan3000, 20:00",0.02,Dec1964,SK04
"04Jan3000, 21:00",0.01,Dec1964,SK04
"04Jan3000, 22:00",0.01,Dec1964,SK04
"04Jan3000, 23:00",0.15,Dec1964,SK04
"05Jan3000, 00:00",0.08,Dec1964,SK04
"05Jan3000, 01:00",0.03,Dec1964,SK04
"05Jan3000, 02:00",0.07,Dec1964,SK04
"05Jan3000, 03:00",0.05,Dec1964,SK04
"05Jan3000, 04:00",0.03,Dec1964,SK04
"05Jan3000, 05:00",0.05,Dec1964,SK04
"05Jan3000, 06:00",0.04,Dec1964,SK04
"05Jan3000, 07:00",0.04,Dec1964,SK04
"05Jan3000, 08:00",0.03,Dec1964,SK04
"05Jan3000, 09:00",0.03,Dec1964,SK04
"05Jan3000, 10:00",0.04,Dec1964,SK04
"05Jan3000, 11:00",0.03,Dec1964,SK04
"05Jan3000, 12:00",0.13,Dec1964,SK04
"05Jan3000, 13:00",0.12,Dec1964,SK04
"05Jan3000, 14:00",0.1,Dec1964,SK04
"05Jan3000, 15:00",0.08,Dec1964,SK04
"05Jan3000, 16:00",0.13,Dec1964,SK04
"05Jan3000, 17:00",0.14,Dec1964,SK04
"05Jan3000, 18:00",0.16,Dec1964,SK04
"05Jan3000, 19:00",0.14,Dec1964,SK04
"05Jan3000, 20:00",0.07,Dec1964,SK04
"05Jan3000, 21:00",0.02,Dec1964,SK04
"05Jan3000, 22:00",0.01,Dec1964,SK04
"05Jan3000, 23:00",0.02,Dec1964,SK04
"06Jan3000, 00:00",0.07,Dec1964,SK04
"06Jan3000, 01:00",0.03,Dec1964,SK04
"06Jan3000, 02:00",0.02,Dec1964,SK04
"06Jan3000, 03:00",0.02,Dec1964,SK04
"06Jan3000, 04:00",0.01,Dec1964,SK04
"06Jan3000, 05:00",0.03,Dec1964,SK04
"06Jan3000, 06:00",0.07,Dec1964,SK04
"06Jan3000, 07:00",0.08,Dec1964,SK04
"06Jan3000, 08:00",0.11,Dec1964,SK04
"06Jan3000, 09:00",0.05,Dec1964,SK04
"06Jan3000, 10:00",0.01,Dec1964,SK04
"06Jan3000, 11:00",0.03,Dec1964,SK04
"06Jan3000, 12:00",0.09,Dec1964,SK04
"06Jan3000, 13:00",0.17,Dec1964,SK04
"06Jan3000, 14:00",0.19,Dec1964,SK04
"06Jan3000, 15:00",0.21,Dec1964,SK04
"06Jan3000, 16:00",0.07,Dec1964,SK04
"06Jan3000, 17:00",0,Dec1964,SK04
"06Jan3000, 18:00",0.1,Dec1964,SK04
"06Jan3000, 19:00",0.07,Dec1964,SK04
"06Jan3000, 20:00",0.02,Dec1964,SK04
"06Jan3000, 21:00",0.06,Dec1964,SK04
"06Jan3000, 22:00",0.08,Dec1964,SK04
"06Jan3000, 23:00",0.1,Dec1964,SK04
"07Jan3000, 00:00",0.05,Dec1964,SK04
"07Jan3000, 01:00",0.06,Dec1964,SK04
"07Jan3000, 02:00",0.09,Dec1964,SK04
"07Jan3000, 03:00",0.04,Dec1964,SK04
"07Jan3000, 04:00",0.03,Dec1964,SK04
"07Jan3000, 05:00",0.01,Dec1964,SK04
"07Jan3000, 06:00",0.01,Dec1964,SK04
"07Jan3000, 07:00",0.02,Dec1964,SK04
"07Jan3000, 08:00",0.04,Dec1964,SK04
"07Jan3000, 09:00",0.04,Dec1964,SK04
"07Jan3000, 10:00",0.03,Dec1964,SK04
"07Jan3000, 11:00",0.02,Dec1964,SK04
"07Jan3000, 12:00",0.02,Dec1964,SK04
"07Jan3000, 13:00",0.07,Dec1964,SK04
"07Jan3000, 14:00",0.08,Dec1964,SK04
"07Jan3000, 15:00",0.06,Dec1964,SK04
"07Jan3000, 16:00",0.09,Dec1964,SK04
"07Jan3000, 17:00",0.12,Dec1964,SK04
"07Jan3000, 18:00",0.01,Dec1964,SK04
"07Jan3000, 19:00",0,Dec1964,SK04
"07Jan3000, 20:00",0,Dec1964,SK04
"07Jan3000, 21:00",0.07,Dec1964,SK04
"07Jan3000, 22:00",0.1,Dec1964,SK04
"07Jan3000, 23:00",0,Dec1964,SK04
"08Jan3000, 00:00",0.01,Dec1964,SK04
"08Jan3000, 01:00",0.22,Dec1964,SK04
"08Jan3000, 02:00",0.07,Dec1964,SK04
"08Jan3000, 03:00",0.05,Dec1964,SK04
"08Jan3000, 04:00",0.01,Dec1964,SK04
"08Jan3000, 05:00",0.01,Dec1964,SK04
"08Jan3000, 06:00",0.01,Dec1964,SK04
"08Jan3000, 07:00",0.01,Dec1964,SK04
"08Jan3000, 08:00",0.01,Dec1964,SK04
"08Jan3000, 09:00",0.02,Dec1964,SK04
"08Jan3000, 10:00",0.04,Dec1964,SK04
"08Jan3000, 11:00",0.1,Dec1964,SK04
"08Jan3000, 12:00",0.06,Dec1964,SK04
"08Jan3000, 13:00",0.09,Dec1964,SK04
"08Jan3000, 14:00",0.09,Dec1964,SK04
"08Jan3000, 15:00",0.05,Dec1964,SK04
"08Jan3000, 16:00",0.06,Dec1964,SK04
"08Jan3000, 17:00",0.07,Dec1964,SK04
"08Jan3000, 18:00",0.05,Dec1964,SK04
"08Jan3000, 19:00",0.08,Dec1964,SK04
"08Jan3000, 20:00",0.09,Dec1964,SK04
"08Jan3000, 21:00",0.11,Dec1964,SK04
"08Jan3000, 22:00",0.06,Dec1964,SK04
"08Jan3000, 23:00",0.05,Dec1964,SK04
"09Jan3000, 00:00",0.07,Dec1964,SK04
"09Jan3000, 01:00",0.09,Dec1964,SK04
"09Jan3000, 02:00",0.05,Dec1964,SK04
"09Jan3000, 03:00",0.02,Dec1964,SK04
"09Jan3000, 04:00",0.06,Dec1964,SK04
"09Jan3000, 05:00",0.07,Dec1964,SK04
"09Jan3000, 06:00",0.11,Dec1964,SK04
"09Jan3000, 07:00",0.12,Dec1964,SK04
"09Jan3000, 08:00",0.13,Dec1964,SK04
"09Jan3000, 09:00",0.09,Dec1964,SK04
"09Jan3000, 10:00",0.09,Dec1964,SK04
"09Jan3000, 11:00",0.13,Dec1964,SK04
"09Jan3000, 12:00",0.06,Dec1964,SK04
"09Jan3000, 13:00",0.04,Dec1964,SK04
