AEP,Upper,Lower,Expected,Sensitivity,Description
0.9,1669.44,1658.47,1662.34,Previous Analysis,2018 Final
0.8,1689.83,1685.72,1687.29,Previous Analysis,2018 Final
0.7,1693.74,1692.73,1693.14,Previous Analysis,2018 Final
0.6,1694.42,1694.08,1694.39,Previous Analysis,2018 Final
0.5,1694.98,1694.65,1694.97,Previous Analysis,2018 Final
0.4,1695.55,1695.23,1695.47,Previous Analysis,2018 Final
0.3,1696.21,1695.86,1695.96,Previous Analysis,2018 Final
0.2,1696.87,1696.54,1696.74,Previous Analysis,2018 Final
0.1,1698.12,1697.34,1697.67,Previous Analysis,2018 Final
0.09,1698.3,1697.57,1697.85,Previous Analysis,2018 Final
0.08,1698.47,1697.79,1698.13,Previous Analysis,2018 Final
0.07,1698.65,1698.02,1698.42,Previous Analysis,2018 Final
0.06,1698.85,1698.24,1698.7,Previous Analysis,2018 Final
0.05,1699.28,1698.47,1698.99,Previous Analysis,2018 Final
0.04,1699.7,1698.69,1699.27,Previous Analysis,2018 Final
0.03,1700.13,1699.11,1699.77,Previous Analysis,2018 Final
0.02,1700.66,1699.72,1700.29,Previous Analysis,2018 Final
0.00999,1701.47,1700.32,1700.82,Previous Analysis,2018 Final
0.00899,1701.55,1700.38,1700.88,Previous Analysis,2018 Final
0.00799,1701.63,1700.45,1701,Previous Analysis,2018 Final
0.00699,1701.71,1700.66,1701.19,Previous Analysis,2018 Final
0.00599,1701.79,1700.86,1701.39,Previous Analysis,2018 Final
0.00499,1701.87,1701.07,1701.58,Previous Analysis,2018 Final
0.004,1701.95,1701.27,1701.78,Previous Analysis,2018 Final
0.003,1702.03,1701.48,1701.97,Previous Analysis,2018 Final
0.002,1702.44,1701.69,1702.16,Previous Analysis,2018 Final
0.000999,1703.09,1701.89,1702.36,Previous Analysis,2018 Final
0.000899,1703.15,1701.91,1702.38,Previous Analysis,2018 Final
0.000799,1703.21,1701.93,1702.4,Previous Analysis,2018 Final
0.000699,1703.28,1701.95,1702.42,Previous Analysis,2018 Final
0.0006,1703.34,1701.97,1702.44,Previous Analysis,2018 Final
0.0005,1703.41,1701.99,1702.45,Previous Analysis,2018 Final
0.0004,1703.47,1702.01,1702.47,Previous Analysis,2018 Final
0.0003,1703.54,1702.03,1702.49,Previous Analysis,2018 Final
0.0002,1703.6,1702.06,1703.02,Previous Analysis,2018 Final
0.0001,1703.67,1702.47,1703.56,Previous Analysis,2018 Final
0.00009,1703.67,1702.59,1703.61,Previous Analysis,2018 Final
0.00008,1703.68,1702.72,1703.66,Previous Analysis,2018 Final
0.00007,1703.69,1702.84,1703.72,Previous Analysis,2018 Final
0.00006,1703.69,1702.96,1703.77,Previous Analysis,2018 Final
0.00005,1703.7,1703.09,1703.82,Previous Analysis,2018 Final
0.00004,1703.86,1703.21,1703.88,Previous Analysis,2018 Final
0.00003,1704.26,1703.33,1703.93,Previous Analysis,2018 Final
0.00002,1704.66,1703.46,1703.98,Previous Analysis,2018 Final
0.00001,1705.06,1703.58,1704.04,Previous Analysis,2018 Final
0.00000901,1705.11,1703.59,1704.04,Previous Analysis,2018 Final
0.00000801,1705.15,1703.6,1704.05,Previous Analysis,2018 Final
0.00000701,1705.19,1703.62,1704.05,Previous Analysis,2018 Final
0.00000601,1705.23,1703.63,1704.06,Previous Analysis,2018 Final
0.00000501,1705.27,1703.64,1704.06,Previous Analysis,2018 Final
0.00000401,1705.31,1703.65,1704.07,Previous Analysis,2018 Final
0.000003,1705.77,1703.67,1704.07,Previous Analysis,2018 Final
0.000002,1707.67,1703.68,1704.08,Previous Analysis,2018 Final
0.000001,1710.2,1703.69,1704.15,Previous Analysis,2018 Final
0.000000902,1710.2,1703.69,1704.55,Previous Analysis,2018 Final
0.000000802,1710.2,1703.69,1704.95,Previous Analysis,2018 Final
0.000000702,1710.2,1703.69,1705.35,Previous Analysis,2018 Final
0.000000601,1710.2,1703.7,1705.85,Previous Analysis,2018 Final
0.000000501,1710.2,1703.7,1706.78,Previous Analysis,2018 Final
0.000000401,1710.2,1703.7,1707.88,Previous Analysis,2018 Final
0.000000301,1710.2,1703.7,1709.5,Previous Analysis,2018 Final
0.000000201,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
0.0000001,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
9.03E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
8.03E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
7.02E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
6.02E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
5.02E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
4.02E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
3.01E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
2.01E-08,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
0.00000001,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
9.04E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
8.04E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
7.03E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
6.03E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
5.02E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
4.02E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
3.02E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
2.01E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
1.01E-09,1710.2,1703.7,1710.2,Previous Analysis,2018 Final
0.000000201,,,1710.2,Previous Analysis,2018 Final
