Simulation,Sensit_ID,Name,Sensitivity,Description,VFC,Flood_Seasonality,Starting Stage,Res_Model,,,
0a - stage_winter_PaleoNoPSIUppe_BestEst_FullUnc,0b ,Final Stage Frequency with full uncertainty,Final-Full,Final. Full Uncert. Sys+Hist+Paleo(NEB)+Precip,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
0b - stage_winter_PaleoNoPSIUppe_BestEst_Expect,1a ,Final Stage Frequency,Final,Final. Expected Only Sys+Hist+Paleo(NEB)+Precip,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1a - stage_winter_syst_BestEstimate,1b ,Syst,Record Length,Sys record with stage seasonality,CGR_3Day_winter_syst,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1b - stage_winter_hist_BestEstimate,1c ,Syst + Hist,Record Length,Sys + Hist record with stage seasonality,CGR_3Day_winter_hist,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1c - stage_winter_paleoOnly_BestEstimate,1d ,Syst + Hist + Paleo,Record Length,Sys+Hist+Paleo record with stage seasonality,CGR_3Day_winter_paleoOnly_Best,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1d - stage_winter_precip_BestEstimate,2a ,Syst + Hist + Paleo + Precip,Record Length,Sys+Hist+Paleo+Precip record with stage seasonality,CGR_3Day_winter_precip_RRFT,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2a - rain_winter_syst_BestEstimate,2b ,Syst (Inflow-based Seasonality),Seasonality,Winter Sys using rain seasonality,CGR_3Day_winter_syst,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2b - rain_winter_hist_BestEstimate,2c ,Syst + Hist (Inflow-based Seasonality),Seasonality,Winter Sys + Hist using rain seasonality,CGR_3Day_winter_hist,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2c - rain_winter_paleoOnly_BestEstimate,2d ,Syst + Hist + Paleo (Inflow-based Seasonality),Seasonality,Winter Sys + Hist + Paleo using rain seasonality,CGR_3Day_winter_paleoOnly_Best,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2d - rain_winter_precip_BestEstimate,3a ,Syst + Hist + Paleo + Precip (Inflow-based Seasonality),Seasonality,Winter Sys + Hist + Paleo + Precip using rain seasonality,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
3a - stage_winter_paleoNoPSIUpper_Debris_10P,3b,Spillway Reduction 10%,Reservoir Operations,10% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_10P,,,
3b- stage_winter_paleoNoPSIUpper_Debris_25P,3c ,Spillway Reduction 25%,Reservoir Operations,25% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_25P,,,
3c - stage_winter_paleoNoPSIUpper_Debris_50P,3d,Spillway Reduction 50%,Reservoir Operations,50% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_50P,,,
3d - stage_winter_paleoNoPSIUpper_Debris_75P,3e,Spillway Reduction 75%,Reservoir Operations,75% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_75P,,,
3e - stage_winter_paleoNoPSIUpper_Debris_100P,3f,Spillway Reduction 100%,Reservoir Operations,100% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_100P,,,
3f - stage_winter_paleoNoPSIUpper_Debris_NoGates,3g,No Gate Operations,Reservoir Operations,No gates operated,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted _Debris_NoGates,,,
3g - stage_winter_paleoNoPSIUpper_DelayOps_BestEst,3h,Delayed Operations,Reservoir Operations,Delayed reservoir ops - best estimate discharge,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate_DelayedOps,,,
3h - stage_winter_paleoNoPSIUpper_DelayOps_Deb_10P,3i,Delayed Operations with 10% reduction,Reservoir Operations,Delayed reservoir ops with 10% reduction from debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_10P_DelayOps,,,
3i - stage_winter_paleoNoPSIUpper_DelayOps_Deb_25P,3j,Delayed Operations with 25% reduction,Reservoir Operations,Delayed reservoir ops with 25% reduction from debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_25P_DelayOps,,,
3j - stage_winter_paleoNoPSIUpper_DelayOps_Deb_50P,4a ,Delayed Operations with 50% reduction,Reservoir Operations,Delayed reservoir ops with 50% reduction from debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_50P_DelayOps,,,
4a - stage_winter_paleo_noPSIBest_BestEst,4b ,Paleo NEB - BB,Paleoflood Application,Paleo NEB - Best Estimate,CGR_3Day_winter_paleo_best_RRFT_noPSIBest,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
4b - stage_winter_paleo_noPSIBestExt_BestEst,4c ,Paleo NEB - BB Ext,Paleoflood Application,"Paleo NEB - Best Estimate, Extended Record",CGR_3Day_winter_paleo_best_RRFT_noPSIBestExt,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
4c - stage_winter_paleo_noPSIUpper_BestEst,4d ,Paleo NEB - BU,Paleoflood Application,Paleo NEB - Upper Estimate,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
4d - stage_winter_paleoBest_BestEstimate,5a ,Paleo PSI & NEB - BB,Paleoflood Application,Paleo PSI & NEB - Best Estimate,CGR_3Day_winter_paleo_best_RRFT,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
5a - stage_winter_paleo_noPSIUpper_BestEst_ExCon,5b ,Existing Conditions,Reservoir Conditions,Existing Reservoir Conditions,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_ExistingConditions_simulated,CGR_Adjusted_BestEstimate,,,
5b - stage_winter_paleo_noPSIUpper_BestEst_Injunct,5c ,Injunction Conditions,Reservoir Conditions,Injunction Reservoir Conditions,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_InjunctionCurve_simulated,CGR_Adjusted_BestEstimate,,,
5c - stage_winter_paleo_noPSIUpperExt_BestEst,6a ,,Reservoir Conditions,,CGR_3Day_winter_paleo_best_RRFT_noPSIUpperExt,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
6a - stage_winter_syst_MaxCapacity,6b ,Sys w/ Max Discharge,Maximum Discharge Capacity,Max Capacity with Syst Record VFC,CGR_3Day_winter_syst,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_MaxCapacity,,,
6b - stage_winter_PaleoNoPSIUppe_BestEst_MaxCap,,Syst + Hist + Paleo + Precip w/ Max Discharge,Maximum Discharge Capacity,Max Capacity with Final VFC,CGR_Seasonality_Stage,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_MaxCapacity,,,
