Ordinate,Stage_FT,Storage_ACFT,Discharge_CFS,Model
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_25P
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_25P
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_25P
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_25P
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_25P
11,1664.40,154700.00,2500.00,CGR_Adjusted_Debris_25P
12,1674.40,165700.00,2500.00,CGR_Adjusted_Debris_25P
13,1684.40,177100.00,2500.00,CGR_Adjusted_Debris_25P
14,1690.40,184200.00,2500.00,CGR_Adjusted_Debris_25P
15,1692.40,186600.00,3000.00,CGR_Adjusted_Debris_25P
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_25P
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_25P
18,1698.40,193900.00,15000.00,CGR_Adjusted_Debris_25P
19,1700.40,196300.00,18000.00,CGR_Adjusted_Debris_25P
20,1702.40,198800.00,40000.00,CGR_Adjusted_Debris_25P
21,1703.40,200000.00,68834.00,CGR_Adjusted_Debris_25P
22,1704.40,201309.00,69950.00,CGR_Adjusted_Debris_25P
23,1706.40,203954.00,72098.00,CGR_Adjusted_Debris_25P
24,1708.40,206635.00,73796.00,CGR_Adjusted_Debris_25P
25,1710.40,209352.00,75515.00,CGR_Adjusted_Debris_25P
26,1712.40,212105.00,79678.00,CGR_Adjusted_Debris_25P
27,1714.40,214894.00,95027.00,CGR_Adjusted_Debris_25P
28,1716.40,217719.00,123606.00,CGR_Adjusted_Debris_25P
29,1718.40,220580.00,160260.00,CGR_Adjusted_Debris_25P
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_25P_DelayOps
2,1520.40,43500.00,100.00,CGR_Adjusted_Debris_25P_DelayOps
3,1541.40,54900.00,100.00,CGR_Adjusted_Debris_25P_DelayOps
4,1564.40,68600.00,100.00,CGR_Adjusted_Debris_25P_DelayOps
5,1584.40,82300.00,100.00,CGR_Adjusted_Debris_25P_DelayOps
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_25P_DelayOps
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_25P_DelayOps
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_25P_DelayOps
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_25P_DelayOps
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_25P_DelayOps
11,1664.40,154700.00,2500.00,CGR_Adjusted_Debris_25P_DelayOps
12,1674.40,165700.00,2500.00,CGR_Adjusted_Debris_25P_DelayOps
13,1684.40,177100.00,2500.00,CGR_Adjusted_Debris_25P_DelayOps
14,1690.40,184200.00,2500.00,CGR_Adjusted_Debris_25P_DelayOps
15,1692.40,186600.00,3000.00,CGR_Adjusted_Debris_25P_DelayOps
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_25P_DelayOps
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_25P_DelayOps
18,1698.40,193900.00,15000.00,CGR_Adjusted_Debris_25P_DelayOps
19,1700.40,196300.00,18000.00,CGR_Adjusted_Debris_25P_DelayOps
20,1702.40,198800.00,25000.00,CGR_Adjusted_Debris_25P_DelayOps
21,1703.40,200000.00,30000.00,CGR_Adjusted_Debris_25P_DelayOps
22,1704.40,201309.00,35000.00,CGR_Adjusted_Debris_25P_DelayOps
23,1706.40,203954.00,40000.00,CGR_Adjusted_Debris_25P_DelayOps
24,1708.40,206635.00,45000.00,CGR_Adjusted_Debris_25P_DelayOps
25,1710.40,209352.00,75515.00,CGR_Adjusted_Debris_25P_DelayOps
26,1712.40,212105.00,79678.00,CGR_Adjusted_Debris_25P_DelayOps
27,1714.40,214894.00,95027.00,CGR_Adjusted_Debris_25P_DelayOps
28,1716.40,217719.00,123606.00,CGR_Adjusted_Debris_25P_DelayOps
29,1718.40,220580.00,160260.00,CGR_Adjusted_Debris_25P_DelayOps
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_50P
2,1520.40,43500.00,100.00,CGR_Adjusted_Debris_50P
3,1541.40,54900.00,100.00,CGR_Adjusted_Debris_50P
4,1564.40,68600.00,100.00,CGR_Adjusted_Debris_50P
5,1584.40,82300.00,100.00,CGR_Adjusted_Debris_50P
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_50P
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_50P
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_50P
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_50P
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_50P
11,1664.40,154700.00,2500.00,CGR_Adjusted_Debris_50P
12,1674.40,165700.00,2500.00,CGR_Adjusted_Debris_50P
13,1684.40,177100.00,2500.00,CGR_Adjusted_Debris_50P
14,1690.40,184200.00,2500.00,CGR_Adjusted_Debris_50P
15,1692.40,186600.00,3000.00,CGR_Adjusted_Debris_50P
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_50P
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_50P
18,1698.40,193900.00,15000.00,CGR_Adjusted_Debris_50P
19,1700.40,196300.00,18000.00,CGR_Adjusted_Debris_50P
20,1702.40,198800.00,40000.00,CGR_Adjusted_Debris_50P
21,1703.40,200000.00,50209.00,CGR_Adjusted_Debris_50P
22,1704.40,201309.00,50963.00,CGR_Adjusted_Debris_50P
23,1706.40,203954.00,52410.00,CGR_Adjusted_Debris_50P
24,1708.40,206635.00,53434.00,CGR_Adjusted_Debris_50P
25,1710.40,209352.00,54490.00,CGR_Adjusted_Debris_50P
26,1712.40,212105.00,58015.00,CGR_Adjusted_Debris_50P
27,1714.40,214894.00,72752.00,CGR_Adjusted_Debris_50P
28,1716.40,217719.00,100731.00,CGR_Adjusted_Debris_50P
29,1718.40,220580.00,136797.00,CGR_Adjusted_Debris_50P
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_50P_DelayOps
2,1520.40,43500.00,100.00,CGR_Adjusted_Debris_50P_DelayOps
3,1541.40,54900.00,100.00,CGR_Adjusted_Debris_50P_DelayOps
4,1564.40,68600.00,100.00,CGR_Adjusted_Debris_50P_DelayOps
5,1584.40,82300.00,100.00,CGR_Adjusted_Debris_50P_DelayOps
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_50P_DelayOps
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_50P_DelayOps
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_50P_DelayOps
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_50P_DelayOps
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_50P_DelayOps
11,1664.40,154700.00,2500.00,CGR_Adjusted_Debris_50P_DelayOps
12,1674.40,165700.00,2500.00,CGR_Adjusted_Debris_50P_DelayOps
13,1684.40,177100.00,2500.00,CGR_Adjusted_Debris_50P_DelayOps
14,1690.40,184200.00,2500.00,CGR_Adjusted_Debris_50P_DelayOps
15,1692.40,186600.00,3000.00,CGR_Adjusted_Debris_50P_DelayOps
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_50P_DelayOps
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_50P_DelayOps
18,1698.40,193900.00,15000.00,CGR_Adjusted_Debris_50P_DelayOps
19,1700.40,196300.00,18000.00,CGR_Adjusted_Debris_50P_DelayOps
20,1702.40,198800.00,25000.00,CGR_Adjusted_Debris_50P_DelayOps
21,1703.40,200000.00,30000.00,CGR_Adjusted_Debris_50P_DelayOps
22,1704.40,201309.00,35000.00,CGR_Adjusted_Debris_50P_DelayOps
23,1706.40,203954.00,40000.00,CGR_Adjusted_Debris_50P_DelayOps
24,1708.40,206635.00,45000.00,CGR_Adjusted_Debris_50P_DelayOps
25,1710.40,209352.00,54490.00,CGR_Adjusted_Debris_50P_DelayOps
26,1712.40,212105.00,58015.00,CGR_Adjusted_Debris_50P_DelayOps
27,1714.40,214894.00,72752.00,CGR_Adjusted_Debris_50P_DelayOps
28,1716.40,217719.00,100731.00,CGR_Adjusted_Debris_50P_DelayOps
29,1718.40,220580.00,136797.00,CGR_Adjusted_Debris_50P_DelayOps
1,1500.00,33748.00,0.00,CGR_Adjusted_Debris_75P
2,1520.40,43500.00,100.00,CGR_Adjusted_Debris_75P
3,1541.40,54900.00,100.00,CGR_Adjusted_Debris_75P
4,1564.40,68600.00,100.00,CGR_Adjusted_Debris_75P
5,1584.40,82300.00,100.00,CGR_Adjusted_Debris_75P
6,1604.40,97800.00,1500.00,CGR_Adjusted_Debris_75P
7,1624.40,115100.00,1500.00,CGR_Adjusted_Debris_75P
8,1644.40,134000.00,1500.00,CGR_Adjusted_Debris_75P
9,1654.40,144100.00,2000.00,CGR_Adjusted_Debris_75P
10,1661.40,151500.00,2500.00,CGR_Adjusted_Debris_75P
11,1664.40,154700.00,3000.00,CGR_Adjusted_Debris_75P
12,1674.40,165700.00,3000.00,CGR_Adjusted_Debris_75P
13,1684.40,177100.00,3000.00,CGR_Adjusted_Debris_75P
14,1690.40,184200.00,3000.00,CGR_Adjusted_Debris_75P
15,1692.40,186600.00,4000.00,CGR_Adjusted_Debris_75P
16,1694.40,189000.00,5000.00,CGR_Adjusted_Debris_75P
17,1696.40,191400.00,10000.00,CGR_Adjusted_Debris_75P
18,1698.40,193900.00,15000.00,CGR_Adjusted_Debris_75P
19,1700.40,196300.00,18000.00,CGR_Adjusted_Debris_75P
20,1702.40,198800.00,30906.00,CGR_Adjusted_Debris_75P
21,1703.40,200000.00,31584.00,CGR_Adjusted_Debris_75P
22,1704.40,201309.00,31975.00,CGR_Adjusted_Debris_75P
23,1706.40,203954.00,32723.00,CGR_Adjusted_Debris_75P
24,1708.40,206635.00,33071.00,CGR_Adjusted_Debris_75P
25,1710.40,209352.00,33465.00,CGR_Adjusted_Debris_75P
26,1712.40,212105.00,36353.00,CGR_Adjusted_Debris_75P
27,1714.40,214894.00,50477.00,CGR_Adjusted_Debris_75P
28,1716.40,217719.00,77856.00,CGR_Adjusted_Debris_75P
29,1718.40,220580.00,113335.00,CGR_Adjusted_Debris_75P
1,1500.00,33748.00,0.00,CGR_MaxCapacity
2,1514.40,40510.00,4282.00,CGR_MaxCapacity
3,1520.40,43500.00,5891.00,CGR_MaxCapacity
4,1524.40,45600.00,6248.00,CGR_MaxCapacity
5,1534.40,51100.00,6920.00,CGR_MaxCapacity
6,1541.40,54900.00,7320.00,CGR_MaxCapacity
7,1544.40,56500.00,7495.00,CGR_MaxCapacity
8,1554.40,62300.00,8047.00,CGR_MaxCapacity
9,1564.40,68600.00,8559.00,CGR_MaxCapacity
10,1569.40,71900.00,8790.00,CGR_MaxCapacity
11,1574.40,75200.00,9021.00,CGR_MaxCapacity
12,1584.40,82300.00,9472.00,CGR_MaxCapacity
13,1587.40,84600.00,9598.00,CGR_MaxCapacity
14,1594.40,89900.00,9838.00,CGR_MaxCapacity
15,1604.40,97800.00,10169.00,CGR_MaxCapacity
16,1608.40,101100.00,10297.00,CGR_MaxCapacity
17,1614.40,106200.00,10495.00,CGR_MaxCapacity
18,1624.40,115100.00,10787.00,CGR_MaxCapacity
19,1634.40,124300.00,11078.00,CGR_MaxCapacity
20,1636.40,126200.00,11134.00,CGR_MaxCapacity
21,1644.40,134000.00,11359.00,CGR_MaxCapacity
22,1654.40,144100.00,11610.00,CGR_MaxCapacity
23,1661.40,151500.00,11823.00,CGR_MaxCapacity
24,1662.40,152600.00,12255.00,CGR_MaxCapacity
25,1663.40,153600.00,12694.00,CGR_MaxCapacity
26,1664.40,154700.00,13412.00,CGR_MaxCapacity
27,1665.40,155800.00,14135.00,CGR_MaxCapacity
28,1666.40,156900.00,15049.00,CGR_MaxCapacity
29,1667.40,158000.00,15966.00,CGR_MaxCapacity
30,1668.40,159100.00,17050.00,CGR_MaxCapacity
31,1669.40,160200.00,18137.00,CGR_MaxCapacity
32,1670.40,161300.00,19382.00,CGR_MaxCapacity
33,1671.40,162400.00,20629.00,CGR_MaxCapacity
34,1672.40,163500.00,22022.00,CGR_MaxCapacity
35,1673.40,164600.00,23419.00,CGR_MaxCapacity
36,1674.40,165700.00,24923.00,CGR_MaxCapacity
37,1675.40,166800.00,26414.00,CGR_MaxCapacity
38,1676.40,168000.00,28049.00,CGR_MaxCapacity
39,1677.40,169100.00,29687.00,CGR_MaxCapacity
40,1678.40,170200.00,31472.00,CGR_MaxCapacity
41,1679.40,171400.00,33260.00,CGR_MaxCapacity
42,1680.40,172500.00,35087.00,CGR_MaxCapacity
43,1681.40,173700.00,36914.00,CGR_MaxCapacity
44,1682.40,174800.00,38840.00,CGR_MaxCapacity
45,1683.40,176000.00,40768.00,CGR_MaxCapacity
46,1684.40,177100.00,42891.00,CGR_MaxCapacity
47,1685.40,178300.00,45019.00,CGR_MaxCapacity
48,1686.40,179500.00,47147.00,CGR_MaxCapacity
49,1687.40,180600.00,49274.00,CGR_MaxCapacity
50,1688.40,181800.00,51402.00,CGR_MaxCapacity
51,1689.40,183000.00,53530.00,CGR_MaxCapacity
52,1690.40,184200.00,55756.00,CGR_MaxCapacity
53,1691.40,185400.00,57983.00,CGR_MaxCapacity
54,1692.40,186600.00,60309.00,CGR_MaxCapacity
55,1693.40,187800.00,62637.00,CGR_MaxCapacity
56,1694.40,189000.00,64964.00,CGR_MaxCapacity
57,1695.40,190200.00,67292.00,CGR_MaxCapacity
58,1696.40,191400.00,69718.00,CGR_MaxCapacity
59,1697.40,192600.00,72145.00,CGR_MaxCapacity
60,1698.40,193900.00,74573.00,CGR_MaxCapacity
61,1699.40,195100.00,77000.00,CGR_MaxCapacity
62,1700.40,196300.00,79624.00,CGR_MaxCapacity
63,1701.40,197600.00,82252.00,CGR_MaxCapacity
64,1702.40,198800.00,84879.00,CGR_MaxCapacity
65,1703.40,200000.00,87507.00,CGR_MaxCapacity
66,1704.40,201309.00,88960.00,CGR_MaxCapacity
67,1705.40,202627.00,90388.00,CGR_MaxCapacity
68,1706.40,203954.00,91807.00,CGR_MaxCapacity
69,1707.40,205290.00,93169.00,CGR_MaxCapacity
70,1708.40,206635.00,94183.00,CGR_MaxCapacity
71,1709.40,207989.00,95194.00,CGR_MaxCapacity
72,1710.40,209352.00,96514.00,CGR_MaxCapacity
73,1711.40,210724.00,98084.00,CGR_MaxCapacity
74,1712.40,212105.00,101366.00,CGR_MaxCapacity
75,1713.40,213495.00,107046.00,CGR_MaxCapacity
76,1714.40,214894.00,116957.00,CGR_MaxCapacity
77,1715.40,216302.00,131230.00,CGR_MaxCapacity
78,1716.40,217719.00,146747.00,CGR_MaxCapacity
79,1717.40,219145.00,164996.00,CGR_MaxCapacity
80,1718.40,220580.00,184346.00,CGR_MaxCapacity
