Probability,January,February,March,April,May,June,July,August,September,October,November,December
0.999,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.998,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.997,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.996,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.995,1335.28,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.994,1337.52,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.993,1338.79,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.992,1339.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.991,1340.11,1337.03,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.99,1340.11,1337.83,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.98,1395.91,1469.52,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.97,1412.45,1490.96,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.96,1420.19,1497.95,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.95,1424.73,1503.80,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.94,1431.10,1512.96,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.93,1437.56,1521.78,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.92,1443.72,1527.08,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.91,1449.89,1529.83,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.9,1453.40,1531.33,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38,1334.38
0.8,1482.89,1536.38,1334.38,1334.38,1334.38,1334.38,1377.44,1334.38,1334.38,1334.38,1334.38,1334.38
0.7,1505.63,1536.38,1334.38,1334.38,1334.38,1334.38,1395.09,1368.40,1334.38,1338.62,1334.38,1350.10
0.6,1524.25,1536.38,1347.34,1334.38,1334.38,1334.38,1409.01,1393.51,1356.03,1377.45,1334.38,1374.37
0.5,1536.38,1536.38,1382.48,1334.38,1334.38,1356.79,1418.72,1412.33,1395.00,1398.34,1342.91,1395.01
0.4,1536.38,1536.38,1414.08,1334.38,1334.38,1374.40,1433.71,1432.01,1426.12,1411.13,1355.70,1421.06
0.3,1536.38,1536.38,1441.34,1351.27,1342.26,1388.97,1453.88,1458.58,1447.47,1428.19,1366.83,1448.43
0.2,1543.69,1536.38,1467.06,1369.02,1360.83,1405.97,1469.83,1475.56,1477.36,1443.12,1377.96,1481.17
0.1,1557.38,1537.20,1489.35,1392.44,1382.90,1431.15,1502.80,1508.46,1504.27,1476.75,1393.31,1524.27
0.09,1559.12,1543.80,1493.02,1395.84,1384.85,1433.75,1506.08,1517.05,1506.83,1480.78,1399.85,1532.56
0.08,1561.35,1548.16,1501.83,1401.20,1387.84,1436.80,1507.70,1522.14,1519.86,1486.01,1410.24,1536.38
0.07,1564.98,1552.45,1503.97,1408.20,1391.04,1440.30,1512.76,1523.67,1528.15,1490.78,1415.27,1536.38
0.06,1570.93,1556.71,1506.20,1412.67,1394.04,1444.97,1516.49,1528.47,1529.65,1494.73,1422.00,1536.38
0.05,1575.70,1563.19,1513.70,1417.72,1400.05,1451.81,1519.13,1531.93,1537.78,1502.50,1426.77,1546.46
0.04,1583.85,1571.00,1520.40,1423.91,1406.88,1459.38,1522.06,1533.75,1539.32,1507.26,1439.54,1553.05
0.03,1596.37,1583.76,1521.19,1432.42,1413.36,1468.65,1527.18,1536.47,1540.82,1515.85,1454.73,1557.54
0.02,1611.27,1597.67,1523.85,1449.89,1425.92,1480.59,1531.38,1549.20,1545.82,1524.07,1472.84,1566.39
0.01,1629.09,1619.25,1555.20,1477.50,1457.16,1491.52,1542.80,1549.87,1550.13,1532.94,1489.51,1591.07
0.009,1632.80,1623.13,1562.92,1480.14,1461.51,1493.15,1543.45,1550.36,1554.93,1537.50,1492.55,1597.97
0.008,1635.17,1624.69,1567.41,1482.09,1463.32,1495.75,1544.32,1551.07,1556.27,1551.80,1495.66,1602.95
0.007,1636.72,1625.90,1576.36,1484.27,1464.22,1495.97,1544.91,1551.84,1556.65,1587.91,1499.61,1612.91
0.006,1640.82,1628.05,1583.64,1488.36,1467.15,1498.94,1545.53,1552.49,1556.97,1617.85,1505.62,1619.59
0.005,1644.23,1630.34,1588.52,1493.05,1467.37,1500.75,1546.01,1553.19,1557.20,1635.33,1510.44,1620.11
0.004,1648.96,1633.01,1592.94,1515.52,1469.56,1504.54,1546.45,1553.67,1557.36,1637.79,1516.39,1628.97
0.003,1654.17,1634.87,1602.50,1529.75,1470.49,1507.80,1546.99,1554.55,1557.42,1640.97,1520.23,1644.78
0.002,1658.32,1640.71,1608.56,1545.61,1471.55,1511.41,1547.45,1555.03,1557.43,1644.20,1538.03,1664.07
0.001,1662.80,1642.43,1611.28,1556.57,1476.49,1515.43,1547.84,1555.40,1557.81,1647.32,1547.17,1670.55
