Percent_Time_Exceeded,Elevation_NAVD88,Project,State
99,1505,Cougar,NTOM
95,1505,Cougar,NTOM
90,1507.1,Cougar,NTOM
85,1516.3,Cougar,NTOM
80,1520,Cougar,NTOM
75,1520,Cougar,NTOM
70,1520,Cougar,NTOM
65,1520.9,Cougar,NTOM
60,1523.5,Cougar,NTOM
55,1530.1,Cougar,NTOM
50,1532.9,Cougar,NTOM
45,1539.4,Cougar,NTOM
40,1545.5,Cougar,NTOM
35,1552.3,Cougar,NTOM
30,1560.7,Cougar,NTOM
25,1571.9,Cougar,NTOM
20,1584.1,Cougar,NTOM
15,1597.9,Cougar,NTOM
10,1614.4,Cougar,NTOM
5,1638.9,Cougar,NTOM
2,1656.3,Cougar,NTOM
1,1664.9,Cougar,NTOM
0.5,1671.8,Cougar,NTOM
0.2,1680.2,Cougar,NTOM
99,1330,Cougar,AT6
95,1330,Cougar,AT6
90,1330,Cougar,AT6
85,1330,Cougar,AT6
80,1330,Cougar,AT6
75,1330,Cougar,AT6
70,1330,Cougar,AT6
65,1342.7,Cougar,AT6
60,1357.9,Cougar,AT6
55,1372.6,Cougar,AT6
50,1385.4,Cougar,AT6
45,1398.6,Cougar,AT6
40,1412.9,Cougar,AT6
35,1428.8,Cougar,AT6
30,1447.6,Cougar,AT6
25,1467.2,Cougar,AT6
20,1490.1,Cougar,AT6
15,1519.5,Cougar,AT6
10,1532,Cougar,AT6
5,1532,Cougar,AT6
2,1551.1,Cougar,AT6
1,1570,Cougar,AT6
0.5,1599,Cougar,AT6
0.2,1628.1,Cougar,AT6
99,1177.8,Blue River,NTOM
95,1180.1,Blue River,NTOM
90,1180.1,Blue River,NTOM
85,1180.9,Blue River,NTOM
80,1198.3,Blue River,NTOM
75,1223.2,Blue River,NTOM
70,1247.7,Blue River,NTOM
65,1268.9,Blue River,NTOM
60,1284.6,Blue River,NTOM
55,1296.9,Blue River,NTOM
50,1306.5,Blue River,NTOM
45,1315.3,Blue River,NTOM
40,1322,Blue River,NTOM
35,1327.4,Blue River,NTOM
30,1333.4,Blue River,NTOM
25,1338.7,Blue River,NTOM
20,1343.7,Blue River,NTOM
15,1348.1,Blue River,NTOM
10,1350,Blue River,NTOM
5,1350,Blue River,NTOM
2,1350,Blue River,NTOM
1,1350,Blue River,NTOM
0.5,1350,Blue River,NTOM
0.2,1350,Blue River,NTOM
99,1156.1,Blue River,AT6
95,1180.1,Blue River,AT6
90,1180.1,Blue River,AT6
85,1180.1,Blue River,AT6
80,1193.3,Blue River,AT6
75,1217.1,Blue River,AT6
70,1243.1,Blue River,AT6
65,1263.7,Blue River,AT6
60,1279.9,Blue River,AT6
55,1292.4,Blue River,AT6
50,1300.9,Blue River,AT6
45,1309.5,Blue River,AT6
40,1316.7,Blue River,AT6
35,1322.9,Blue River,AT6
30,1328.7,Blue River,AT6
25,1334.5,Blue River,AT6
20,1339.4,Blue River,AT6
15,1344.4,Blue River,AT6
10,1348.8,Blue River,AT6
5,1350,Blue River,AT6
2,1350,Blue River,AT6
1,1350,Blue River,AT6
0.5,1350,Blue River,AT6
0.2,1350,Blue River,AT6
99,750,Lookout Point,NTOM
95,760,Lookout Point,NTOM
90,772.7,Lookout Point,NTOM
85,783.5,Lookout Point,NTOM
80,795.3,Lookout Point,NTOM
75,807.2,Lookout Point,NTOM
70,819,Lookout Point,NTOM
65,825.1,Lookout Point,NTOM
60,829.7,Lookout Point,NTOM
55,836.6,Lookout Point,NTOM
50,844.3,Lookout Point,NTOM
45,854,Lookout Point,NTOM
40,864,Lookout Point,NTOM
35,873.1,Lookout Point,NTOM
30,881.9,Lookout Point,NTOM
25,889.3,Lookout Point,NTOM
20,893,Lookout Point,NTOM
15,896.4,Lookout Point,NTOM
10,905.3,Lookout Point,NTOM
5,917.4,Lookout Point,NTOM
2,925.4,Lookout Point,NTOM
1,926,Lookout Point,NTOM
0.5,926,Lookout Point,NTOM
0.2,926,Lookout Point,NTOM
99,819,Lookout Point,AT6
95,824.8,Lookout Point,AT6
90,825.1,Lookout Point,AT6
85,830.5,Lookout Point,AT6
80,835.8,Lookout Point,AT6
75,841.5,Lookout Point,AT6
70,848.6,Lookout Point,AT6
65,857,Lookout Point,AT6
60,864.1,Lookout Point,AT6
55,871,Lookout Point,AT6
50,877.5,Lookout Point,AT6
45,884.8,Lookout Point,AT6
40,892.2,Lookout Point,AT6
35,898.5,Lookout Point,AT6
30,905.1,Lookout Point,AT6
25,911.2,Lookout Point,AT6
20,916.6,Lookout Point,AT6
15,922.3,Lookout Point,AT6
10,925.9,Lookout Point,AT6
5,926,Lookout Point,AT6
2,926,Lookout Point,AT6
1,926,Lookout Point,AT6
0.5,926,Lookout Point,AT6
0.2,926,Lookout Point,AT6
99,1427.1,Hills Creek,NTOM
95,1446.5,Hills Creek,NTOM
90,1449.3,Hills Creek,NTOM
85,1453,Hills Creek,NTOM
80,1457.1,Hills Creek,NTOM
75,1462,Hills Creek,NTOM
70,1468.1,Hills Creek,NTOM
65,1475.2,Hills Creek,NTOM
60,1483.7,Hills Creek,NTOM
55,1490.8,Hills Creek,NTOM
50,1497.6,Hills Creek,NTOM
45,1504.5,Hills Creek,NTOM
40,1511.3,Hills Creek,NTOM
35,1517.3,Hills Creek,NTOM
30,1522.7,Hills Creek,NTOM
25,1527.7,Hills Creek,NTOM
20,1534.9,Hills Creek,NTOM
15,1539.9,Hills Creek,NTOM
10,1541,Hills Creek,NTOM
5,1541,Hills Creek,NTOM
2,1541,Hills Creek,NTOM
1,1541,Hills Creek,NTOM
0.5,1541,Hills Creek,NTOM
0.2,1541.1,Hills Creek,NTOM
99,1414,Hills Creek,AT6
95,1417.3,Hills Creek,AT6
90,1443.6,Hills Creek,AT6
85,1448.1,Hills Creek,AT6
80,1451.4,Hills Creek,AT6
75,1455.2,Hills Creek,AT6
70,1460.1,Hills Creek,AT6
65,1466.6,Hills Creek,AT6
60,1474.2,Hills Creek,AT6
55,1481.4,Hills Creek,AT6
50,1487.3,Hills Creek,AT6
45,1493.5,Hills Creek,AT6
40,1499.7,Hills Creek,AT6
35,1505.4,Hills Creek,AT6
30,1511.1,Hills Creek,AT6
25,1517.3,Hills Creek,AT6
20,1523.6,Hills Creek,AT6
15,1530,Hills Creek,AT6
10,1536.9,Hills Creek,AT6
5,1541,Hills Creek,AT6
2,1541,Hills Creek,AT6
1,1541,Hills Creek,AT6
0.5,1541,Hills Creek,AT6
0.2,1541,Hills Creek,AT6
99,613,Foster,NTOM
95,613,Foster,NTOM
90,613,Foster,NTOM
85,613,Foster,NTOM
80,613,Foster,NTOM
75,613,Foster,NTOM
70,613,Foster,NTOM
65,613,Foster,NTOM
60,613,Foster,NTOM
55,613,Foster,NTOM
50,614.2,Foster,NTOM
45,618.7,Foster,NTOM
40,625.9,Foster,NTOM
35,631.7,Foster,NTOM
30,637,Foster,NTOM
25,637,Foster,NTOM
20,637,Foster,NTOM
15,637,Foster,NTOM
10,637,Foster,NTOM
5,637,Foster,NTOM
2,637,Foster,NTOM
1,637,Foster,NTOM
0.5,637,Foster,NTOM
0.2,639,Foster,NTOM
99,613,Foster,AT6
95,613,Foster,AT6
90,613,Foster,AT6
85,613,Foster,AT6
80,613,Foster,AT6
75,615.8,Foster,AT6
70,619,Foster,AT6
65,622.2,Foster,AT6
60,625.3,Foster,AT6
55,628.2,Foster,AT6
50,631.6,Foster,AT6
45,634.9,Foster,AT6
40,637,Foster,AT6
35,637,Foster,AT6
30,637,Foster,AT6
25,637,Foster,AT6
20,637,Foster,AT6
15,637,Foster,AT6
10,637,Foster,AT6
5,637,Foster,AT6
2,637,Foster,AT6
1,637,Foster,AT6
0.5,637.8,Foster,AT6
0.2,639.7,Foster,AT6
